IP,Status,Ping (ms)
192.168.2.1,Inactive,
192.168.2.2,Active,
192.168.2.3,Active,
192.168.2.4,Active,
192.168.2.5,Active,
192.168.2.6,Inactive,
192.168.2.7,Inactive,
192.168.2.8,Active,
192.168.2.9,Active,
192.168.2.10,Active,
192.168.2.11,Active,
192.168.2.12,Active,
192.168.2.13,Active,
192.168.2.14,Active,
192.168.2.15,Inactive,
192.168.2.16,Inactive,
192.168.2.17,Active,
192.168.2.18,Inactive,
192.168.2.19,Inactive,
192.168.2.20,Inactive,
192.168.2.21,Active,
192.168.2.22,Active,
192.168.2.23,Active,
192.168.2.24,Active,
192.168.2.25,Active,
192.168.2.26,Inactive,
192.168.2.27,Active,
192.168.2.28,Active,
192.168.2.29,Active,
192.168.2.30,Inactive,
192.168.2.31,Active,
192.168.2.32,Active,
192.168.2.33,Active,
192.168.2.34,Inactive,
192.168.2.35,Inactive,
192.168.2.36,Active,
192.168.2.37,Active,
192.168.2.38,Active,
192.168.2.39,Inactive,
192.168.2.40,Active,
192.168.2.41,Inactive,
192.168.2.42,Active,
192.168.2.43,Active,
192.168.2.44,Active,
192.168.2.45,Inactive,
192.168.2.46,Active,
192.168.2.47,Active,
192.168.2.48,Inactive,
192.168.2.49,Active,
192.168.2.50,Inactive,
192.168.2.51,Active,
192.168.2.52,Active,
192.168.2.53,Inactive,
192.168.2.54,Active,
192.168.2.55,Inactive,
192.168.2.56,Active,
192.168.2.57,Active,
192.168.2.58,Active,
192.168.2.59,Active,
192.168.2.60,Inactive,
192.168.2.61,Active,
192.168.2.62,Active,
192.168.2.63,Active,
192.168.2.64,Inactive,
192.168.2.65,Active,
192.168.2.66,Inactive,
192.168.2.67,Active,
192.168.2.68,Active,
192.168.2.69,Active,
192.168.2.70,Active,
192.168.2.71,Active,
192.168.2.72,Active,
192.168.2.73,Active,
192.168.2.74,Active,
192.168.2.75,Active,
192.168.2.76,Active,
192.168.2.77,Active,
192.168.2.78,Active,
192.168.2.79,Active,
192.168.2.80,Active,
192.168.2.81,Active,
192.168.2.82,Active,
192.168.2.83,Active,
192.168.2.84,Active,
192.168.2.85,Active,
192.168.2.86,Active,
192.168.2.87,Inactive,
192.168.2.88,Active,
192.168.2.89,Inactive,
192.168.2.90,Active,
192.168.2.91,Active,
192.168.2.92,Active,
192.168.2.93,Active,
192.168.2.94,Inactive,
192.168.2.95,Active,
192.168.2.96,Active,
192.168.2.97,Active,
192.168.2.98,Inactive,
192.168.2.99,Inactive,
192.168.2.100,Active,
192.168.2.101,Inactive,
192.168.2.102,Inactive,
192.168.2.103,Active,
192.168.2.104,Active,
192.168.2.105,Inactive,
192.168.2.106,Active,
192.168.2.107,Active,
192.168.2.108,Active,
192.168.2.109,Active,
192.168.2.110,Active,
192.168.2.111,Active,
192.168.2.112,Active,
192.168.2.113,Inactive,
192.168.2.114,Active,
192.168.2.115,Active,
192.168.2.116,Active,
192.168.2.117,Active,
192.168.2.118,Active,
192.168.2.119,Active,
192.168.2.120,Active,
192.168.2.121,Active,
192.168.2.122,Active,
192.168.2.123,Active,
192.168.2.124,Active,
192.168.2.125,Inactive,
192.168.2.126,Active,
192.168.2.127,Active,
192.168.2.128,Inactive,
192.168.2.129,Inactive,
192.168.2.130,Inactive,
192.168.2.131,Active,
192.168.2.132,Active,
192.168.2.133,Inactive,
192.168.2.134,Active,
192.168.2.135,Active,
192.168.2.136,Active,
192.168.2.137,Inactive,
192.168.2.138,Active,
192.168.2.139,Active,
192.168.2.140,Inactive,
192.168.2.141,Active,
192.168.2.142,Inactive,
192.168.2.143,Active,
192.168.2.144,Active,
192.168.2.145,Active,
192.168.2.146,Active,
192.168.2.147,Active,
192.168.2.148,Inactive,
192.168.2.149,Active,
192.168.2.150,Active,
192.168.2.151,Inactive,
192.168.2.152,Active,
192.168.2.153,Active,
192.168.2.154,Active,
192.168.2.155,Active,
192.168.2.156,Active,
192.168.2.157,Active,
192.168.2.158,Active,
192.168.2.159,Active,
192.168.2.160,Inactive,
